,TIME,lamdaFL,lamdaFR,lamdaRL,lamdaRR,fxFL,tauFR,tauRL,tauRR,AX,AY,AngACC,X,Y,R,PSI
483,1.97126839075496,0.0592464946047195,0.0598893618945821,0.086546565155888,0.086546565155888,2921.3539123271803,-0.0462998805709735,-0.0172680729052121,-0.015847155087167,0.175965773340286,-0.300767865432226,-0.619360027830021,75.5359556341369,-143.417300133325,-0.353269830480255,1.82176773235817
484,1.97563419537748,0.0562541773551149,0.0579116018614272,0.0843651936396018,0.0843651936396018,2936.1531655231524,-0.0484168507215701,-0.0172897415381464,-0.0158590804262662,0.138750177768649,-0.294380326207574,-0.535260090866324,75.5317190731815,-143.392401054017,-0.35579298732179,1.82021990784792
485,1.98,0.0529653044829636,0.0555250320315754,0.0822492075162174,0.0822492075162174,2959.14027492231,-0.0461136842632367,-0.0172832039040609,-0.0158458878372246,0.0959399840596196,-0.289598980027323,-0.474835536279691,75.5275297855542,-143.367464874878,-0.358015906440631,1.81866194801166
486,1.98758634764682,0.0472224373161262,0.0515794500828347,0.0787391026374896,0.0787391026374896,3024.208999926393,-0.0496206893562827,-0.0172252388324625,-0.0157816297988186,0.0148280250503592,-0.28016143668444,-0.374356510719405,75.5203654020827,-143.324066501609,-0.361254864974563,1.81593359216917
487,1.99517269529364,0.0422156194864778,0.0477723214327156,0.0757010043954327,0.0757010043954327,3111.722117834936,-0.0458051377983454,-0.017140173350677,-0.0156938087964534,-0.059341363502614,-0.271273031457963,-0.296691354650113,75.5133531690138,-143.280627725954,-0.363835034003969,1.8131840208523
488,1.99758634764682,0.0408700024187662,0.0468101589981138,0.074839451591529,0.074839451591529,3143.130517687215,-0.0468731435413117,-0.0171086380231855,-0.0156620208836006,-0.0815218178863686,-0.268096128101206,-0.271706582529152,75.511154342224,-143.266801028693,-0.364523496955589,1.81230501779594
489,2.0,0.0396757623269221,0.0458479448605195,0.0740330008239041,0.0740330008239041,3173.6936813329453,-0.0456780326662678,-0.0170771802254977,-0.015630391614743,-0.101620521139292,-0.265513563396151,-0.253218897294776,75.508971527082,-143.252975353393,-0.365160433176004,1.81142443655127
490,2.005,0.0377604659240037,0.0444126226267962,0.0725577985223608,0.0725577985223608,3230.214903437927,-0.0477760159209367,-0.0170130128858748,-0.0155660351612637,-0.1378243954993,-0.259798437356092,-0.211079105868694,75.5045010866877,-143.22434238154,-0.366333124965179,1.80959569640964
491,2.01,0.036460068998615,0.0432298856733528,0.071369802646374,0.071369802646374,3271.9466548826417,-0.0453475295001757,-0.016949474659444,-0.0155025779774573,-0.164519533712419,-0.255750969624874,-0.183612993716387,75.5001005914834,-143.195727659187,-0.367336065057981,1.80776166281223
492,2.025,0.0364068273764193,0.0431707848103072,0.0697245983243437,0.0697245983243437,3314.161434362165,-0.050641606198583,-0.0167600768852753,-0.0153150109006755,-0.19310632285536,-0.245967919705316,-0.113375043031383,75.4873198904321,-143.110038600837,-0.369664291704564,1.80223412180072
493,2.04,0.0405376011278625,0.0458939517868169,0.0703684704814304,0.0703684704814304,3287.908497237124,-0.0436526976204902,-0.0165919221198565,-0.0151488871112759,-0.156532368689304,-0.244745405062739,-0.12046032971929,75.4751581594013,-143.024587108572,-0.371645241414139,1.79667515571607
494,2.055,0.047438948766899,0.0512511741351938,0.0726321661198956,0.0726321661198956,3226.520370401232,-0.0476332720532137,-0.0164707244809956,-0.0150273172974407,-0.0774284820318957,-0.245205005169111,-0.140716703589314,75.4635986382812,-142.939321253571,-0.37366693916748,1.79108533896404
495,2.07,0.0536420446085608,0.0557361781239153,0.0745538407808479,0.0745538407808479,3164.320599012006,-0.0409381896068936,-0.0163899667613942,-0.0149447855015389,0.0037641233454415,-0.246243095813263,-0.156222204642626,75.4525987459142,-142.854072547625,-0.375911504932457,1.78546295166404
496,2.085,0.0586551210287254,0.0595527972522672,0.0759130709142532,0.0759130709142532,3110.2497937155504,-0.0439878330221393,-0.0163198247612292,-0.0148748479211371,0.0652128945157109,-0.243151084672372,-0.128844070673823,75.4421346810231,-142.768738340705,-0.378079274135937,1.77980794134509
497,2.1,0.0603914979719155,0.060720527995168,0.0756293171075819,0.0756293171075819,3089.4822646817934,-0.0378999386936892,-0.016197195081115,-0.0147610278202999,0.0884582434391218,-0.237279159289887,-0.0724969152790973,75.4321666866482,-142.683166514737,-0.379527085437457,1.77412766705107
